episode,timestep,reward
412,10000,24.2184
690,20000,35.8561
808,30000,83.9068
892,40000,117.4762
940,50000,212.9583
969,60000,344.4138
1000,70000,322.7097
1023,80000,419.3043
1046,90000,438.6957
1067,100000,472.1905
